chunk_size,chunk_overlap,num_chunks,avg_chunk_length,vectorstore_creation_time,avg_retrieval_time,avg_relevance_score,memory_used_mb,efficiency_score
200,50,926,166.4535637149028,7.679165363311768,0.6528915882110595,0.029800506030397057,104.30859375,0.045643881110570356
200,100,1305,171.53869731800765,8.286771774291992,0.437944221496582,0.019508768166277758,9.49609375,0.044546239472256666
200,150,2052,178.5229044834308,10.65326476097107,0.7487160205841065,0.02734150121257219,30.640625,0.03651785251134586
500,50,379,372.9076517150396,2.3345158100128174,0.47611041069030763,0.027879640443996302,-19.3671875,0.0585570905781579
500,100,398,386.9170854271357,3.1714751720428467,0.4816943645477295,0.025836402121135194,11.0078125,0.053636504851771315
500,150,413,405.4769975786925,3.945807695388794,0.4606350898742676,0.021709406119709958,23.16015625,0.04712929300639176
500,200,438,419.9680365296804,4.933272361755371,0.3597851276397705,0.019374056095919287,-19.21484375,0.053848963193712865
500,250,471,433.7452229299363,3.1070635318756104,0.34477801322937013,0.023254336255562565,9.4921875,0.06744727147114273
800,50,264,525.9848484848485,2.9530253410339355,0.6652312278747559,0.013898837581511187,-10.453125,0.02089324282913541
800,100,264,543.8560606060606,2.6923410892486572,0.36299381256103513,0.018566571222475407,8.1171875,0.05114845096527246
800,150,264,561.7272727272727,4.282350301742554,0.3632023334503174,0.013655125558411413,13.05078125,0.037596469793273794
800,200,264,579.125,2.7247211933135986,0.36035981178283694,0.01608585150769878,-19.96875,0.04463830588687445
800,250,267,591.0299625468165,2.8296492099761963,0.28635191917419434,0.01568515373863331,9.3046875,0.054775794008531435
1000,50,214,644.1401869158879,2.666177749633789,0.3940739154815674,0.013604033578188878,-5.67578125,0.034521527672199355
1000,100,214,654.6822429906542,2.9475514888763428,0.34055256843566895,0.014734774504366471,6.9140625,0.0432672540749018
1000,150,214,662.8457943925233,3.0141913890838623,0.3479758739471436,0.01365745523755279,11.05078125,0.039248282022067184
1000,200,214,673.3644859813085,3.4050796031951904,0.43064284324645996,0.01299797039314142,-18.03515625,0.030182715438051733
1000,250,214,683.5700934579439,3.756007194519043,0.3191073417663574,0.012857037842508145,9.625,0.04029063628351664
1200,50,182,752.2802197802198,3.185181140899658,0.49636068344116213,0.015377221991178516,9.33984375,0.030979935567361085
1200,100,182,755.9230769230769,3.4487900733947754,0.6021504402160645,0.01648903475147325,-18.70703125,0.027383579999637024
1200,150,182,758.3626373626373,3.2524709701538086,0.34897522926330565,0.015499465809776649,9.421875,0.04441422917751601
1200,200,182,760.1483516483516,3.09853458404541,0.35110950469970703,0.015165406260030826,-9.9765625,0.04319281038262215
1200,250,182,763.0,2.917698383331299,0.358929443359375,0.01484173597182153,8.72265625,0.041350009720326486
1500,50,174,786.8908045977012,2.6200144290924072,0.7424006462097168,0.017813602767230305,10.984375,0.02399459491068147
1500,100,174,786.8908045977012,2.704700231552124,0.3701623916625977,0.017813602767230305,-20.046875,0.0481237510034984
1500,150,174,787.2241379310345,2.6905317306518555,0.3215689182281494,0.016183973137600675,9.4609375,0.05032816363837233
1500,200,174,787.7816091954023,2.697026252746582,0.36682443618774413,0.014949405236366106,11.3125,0.04075356972324184
1500,250,174,787.7816091954023,2.091496229171753,0.39997153282165526,0.014949405236366106,-18.5078125,0.037376173076377285
2000,50,173,791.1965317919075,2.804119825363159,0.36430811882019043,0.013264583159387167,8.94140625,0.03641034188956435
2000,100,173,791.1965317919075,2.683509349822998,0.33284873962402345,0.013264583159387167,-10.42578125,0.03985168510588463
2000,150,173,791.1965317919075,3.5011532306671143,0.5438586235046386,0.013264583159387167,8.94140625,0.024389763416657547
2000,200,173,791.1965317919075,2.0774552822113037,0.37060298919677737,0.013264583159387167,11.86328125,0.035791894685296595
2000,250,173,791.1965317919075,2.32829213142395,0.3545515060424805,0.013264583159387167,-19.28515625,0.037412288294716406
